title,summary,url,source,publication_date,sentiment
Tesla's All-Hands-Meet at 10 PM had employees worried and confused; here's what Elon Musk said at the meeting,"Tesla employees were left surprised by an unexpected all-hands meeting last Thursday night. Held at 9:30 pm ET, the meeting ...",https://www.msn.com/en-in/technology/tech-companies/tesla-s-all-hands-meet-at-10-pm-had-employees-worried-and-confused-here-s-what-elon-musk-said-at-the-meeting/ar-AA1BpnLN?ocid=BingNewsVerp,MSN,2025-03-22,Positive
"Woman with a rare disease that causes vertigo switches to Tesla car, says, she felt ‘peace and security’; Elon Musk reacts","A woman suffering from Ménière’s disease, which causes dizziness, replaced her 2004 Toyota with a Tesla Model 3 with Full ...",https://www.msn.com/en-in/health/other/woman-with-a-rare-disease-that-causes-vertigo-switches-to-tesla-car-says-she-felt-peace-and-security-elon-musk-reacts/ar-AA1Bqs8b?ocid=BingNewsVerp,MSN,2025-03-22,Positive
Was Elon Musk really a Tesla co-founder? How he became synonymous with the brand,"Elon Musk is widely recognized as the visionary behind Tesla. However, the company was originally founded by Martin Eberhard ...",https://www.msn.com/en-in/technology/tech-companies/was-elon-musk-really-a-tesla-co-founder-how-he-became-synonymous-with-the-brand/ar-AA1BrCJD?ocid=BingNewsVerp,MSN,2025-03-22,Negative
Will Elon Musk step down as Tesla CEO? Top investor Ross Gerber calls for his exit amid $800 billion value freefall since December,Prominent Tesla investor Ross Gerber urges Elon Musk to either refocus on Tesla or step down as CEO due to the company’s ...,https://www.msn.com/en-in/money/topstories/will-elon-musk-step-down-as-tesla-ceo-top-investor-ross-gerber-calls-for-his-exit-amid-800-billion-value-freefall-since-december/ar-AA1Bfvwt?ocid=BingNewsVerp,MSN,2025-03-21,Positive
"Why Tesla recalled nearly all Cybertrucks in US, in the latest of the model’s many woes",This is the eighth recall of Cyberstrucks in the brief span they have been on the roads. It’s not great news for a company ...,https://indianexpress.com/article/explained/tesla-recall-cybertrucks-problems-ev-9898882/,2d,2025-03-21,Negative
Trump warns Tesla attackers of 20 yrs in jail: Why company is under attack,"The warning comes amid a rise in attacks on Tesla showrooms, cars, and charging stations following the appointment of CEO ...",https://www.business-standard.com/world-news/donald-trump-warning-tesla-attacks-elon-musk-doge-125032100387_1.html,2d,2025-03-21,Neutral
Tesla recalls most Cybertrucks due to trim detaching from vehicle,"Tesla is recalling nearly all Cybertrucks in the United States to fix an exterior panel that could detach while driving, the ...",https://www.msn.com/en-ca/money/topstories/tesla-recalls-most-cybertrucks-due-to-trim-detaching-from-vehicle/ar-AA1BmfKK?ocid=BingNewsVerp,MSN,2025-03-21,Positive
Will protesters get death penalty for smashing and setting fire to Tesla cars in the U.S? Here's what White House press secretary Karoline Leavitt says,Fox News host Harris Faulkner asked White House press secretary Karoline Leavitt if people who vandalize or burn Tesla cars ...,https://www.msn.com/en-in/news/India/will-protesters-get-death-penalty-for-smashing-and-setting-fire-to-tesla-cars-in-the-us-heres-what-white-house-press-secretary-karoline-leavitt-says/ar-AA1BohVC?ocid=BingNewsVerp,MSN,2025-03-21,Neutral
Anti-Musk protesters gather outside Tesla dealership in Washington,"Roughly 100 people waved signs and danced in protest outside a Tesla dealership in Washington on Saturday, angry at the ...",https://www.msn.com/en-us/news/other/anti-musk-protesters-gather-outside-tesla-dealership-in-washington/ar-AA1BsEvl?ocid=BingNewsVerp,MSN,2025-03-23,Negative
"Elon Musk juggles Tesla, Trump ties & stock woes as he attempts to rally the troops—Is it time for a new CEO?",Tesla CEO Elon Musk addressed employees in an impromptu all-hands meeting amid mounting concerns over his leadership and the ...,https://www.msn.com/en-in/technology/tech-companies/elon-musk-juggles-tesla-trump-ties-stock-woes-as-he-attempts-to-rally-the-troops-is-it-time-for-a-new-ceo/ar-AA1Bohsy?ocid=BingNewsVerp,MSN,2025-03-21,Neutral
